rank,id_user,split_group,revenue,system,id_traffic_source,cum_rev_pct
1,25ef928b49cb3838a5151cb045339db0be027143059940ca36532ea77a2c6e86,1,11249.06,Android,Coruscant,5.58
2,b3506e03e87714e04a5460df096422faa165b309336dc6739ab8ad713fe19262,1,10229.86,Android,Mandalore,10.66
3,d5093bd6826f7463c7f645bfed1f59e2698dc893d8120f8dc57d4e2236a2ded9,1,10176.65,iOS,Coruscant,15.71
4,c51fcb8ea5ceb5ade9cf508efb44d188e9ad95f63c7766514fa9938554943457,1,9729.60,iOS,Coruscant,20.54
5,899ca4aefedc6b99b939c8d19ec5af3b9b6d61f618f43a20933bb42cef18a33e,0,8628.67,Android,Coruscant,24.82
6,c62c7798fcc28fd24a11c4facd9a31062927e40257213a19436e7c9ba488cc3d,0,7021.24,iOS,Coruscant,28.30
7,03d38d8e6e0e538d7424af2b3ca6229ea6ef7a85cdd40883699a51d89ba89a6c,1,5664.79,iOS,Alderaan,31.11
8,6bd74a0b56038f56cac7fc59b144a8f9152a1e3ebfc864aa08f7c8d3a9fbfb9d,0,5587.53,Android,Mandalore,33.88
9,b597dd73130cb1d8e02075b4e1c1db2bc18a57809b48f60f96f881556e0506c9,0,4463.37,Android,Mandalore,36.10
10,eb603a199ccf1c112a2cc022e5bc1ed3562f011d871c31df460faf9a28dac033,0,4402.32,Android,Coruscant,38.28
11,65c0e028ca873844fe8e617ac1dbab2dc961866e6104706ba8e917b75ffa5ecd,1,4224.95,iOS,Alderaan,40.38
12,727ff6bf4dc367a164f606f76a7e059ab175e02b285b80c46a602214076f090d,1,4153.90,iOS,Coruscant,42.44
13,1492afd74163e4e4b9f24f60b70b8ad5e2fd0812c66d000cbdc1a9f817caf4be,1,4095.17,Android,Coruscant,44.47
14,4282b614ea4d3db52a69719e84478fa840fe2f44ac3d61f6d96cf08e84647ac4,0,3402.32,iOS,Coruscant,46.16
15,6280153461effb750455dd4ec641764beccbbc2d409179bea2447436ad212fd7,0,3110.42,iOS,Coruscant,47.70
16,7d9e76a1e8a811342a1845f913bbb152a6150b111e43b2600ccd5ccfaa30120e,1,3038.95,iOS,Coruscant,49.21
17,e110c6dd7be8537c83be9db24dcafa5b6d28176e3b6b5a8153a65bd6eb60815a,0,3012.13,iOS,Mandalore,50.71
18,f3cffebd8a52069d578d399fd3c646ba206f37f2676b6158d1eb0a4e02915565,0,2760.64,iOS,Alderaan,52.08
19,86b16714fc41bb52e837d95c3eba42c1ac4ef8506064d23dbf87f43de7d7a614,1,2712.70,Android,Coruscant,53.42
20,f90a6d86ccaffd7a9f77371dc72e044d321189dfa48db93d6ae56a844c077ffe,1,2483.01,iOS,Coruscant,54.65
